T3_SampleDevice
Time-Data=(A2/86400)+25569;Temp;Humi;Vbat
1609459200;13.72;86.58;2943
1609459500;13.57;86.7;2957
1609459800;13.5;86.88;2960
1609460100;13.49;87.25;2960
1609460400;13.49;87.35;2961
1609460700;13.42;87.46;2962
1609461000;13.34;87.58;2962
1609461300;13.06;86.97;2963
1609461600;19.31;75.52;2964
1609461900;22.31;67.15;2975
1609462200;22.52;65.71;2981
1609462500;22.58;65.17;2984
1609462800;22.64;64.98;2987
1609463100;22.68;64.85;2990
1609463400;22.71;64.76;2993
1609463700;22.73;64.69;2995
1609464000;22.74;64.64;2997
1609464300;22.75;64.6;2999
1609464600;22.76;64.57;3001
